,Unnamed: 0,Code,Securities,SRCI,WindI,Tos,"TSC(10,000)","CAS(10,000)","CBS(10,000)","CHS(10,000)","TBAS(10,000)","TBBS(10,000)","OTS(10,000)","TOTS(10,000)","RS_of_AS(10,000)","RS_of_BS(10,000)","RS/SH(10,000)","RS/SOL(10,000)","RS/ODS(10,000)","RS/DLPH(10,000)","RS/IPS(10,000)","RS/EH(10,000)","RS/DNPH(10,000)","RS/FS(10,000)","RS/OLPH(10,000)","RS/INPH(10,000)",CAS(%),CBS(%),CHS(%),CST(%),ROAS(%),Deadline,TSC_FDOL,CS_FDOL,Proportion_FDOL(%),TSC_Latest,CS_Latest,Proportion_Latest(%),TSC_ALL_Amplitude(%),CS_ALL_Amplitude(%),Total_ALL_Number,TSC_ALL_Number,NOSH_Executive_ALL,"FMV_Executive_ALL(￥10,000)",NOSH_Chairman,"FMV_Chairman(￥10,000)",NOSH_Directors,"FMV_Directors(￥10,000)",NOSH_supervisor,"FMV_supervisor(￥10,000)",NOPI_fund_S1,"Total_stock_fund_S1(10,000)",ICASP_fund_S1(%),"MVOP_fund_S1(￥10,000)",NOPI_Broker_S1,"Total_stock_Broker_S1(10,000)",ICASP_Broker_S1(%),"MVOP_Broker_S1(￥10,000)",NOPI_Insurance_S1,"Total_stock_Insurance_S1(10,000)",ICASP_Insurance_S1(%),"MVOP_Insurance_S1(￥10,000)",NOPI_SS_S1,"Total_stock_SS_S1(10,000)",ICASP_SS_S1(%),"MVOP_SS_S1(￥10,000)",NOPI_QFII_S1,"Total_stock_QFII_S1(10,000)",ICASP_QFII_S1(%),"MVOP_QFII_S1(￥10,000)",NOPI_Other_S1,"Total_stock_Other_S1(10,000)",ICASP_Other_S1(%),"MVOP_Other_S1(￥10,000)",NOPI_fund_S2,"Total_stock_fund_S2(10,000)",ICASP_fund_S2(%),"MVOP_fund_S2(￥10,000)",NOPI_Broker_S2,"Total_stock_Broker_S2(10,000)",ICASP_Broker_S2(%),"MVOP_Broker_S2(￥10,000)",NOPI_Insurance_S2,"Total_stock_Insurance_S2(10,000)",ICASP_Insurance_S2(%),"MVOP_Insurance_S2(￥10,000)",NOPI_SS_S2,"Total_stock_SS_S2(10,000)",ICASP_SS_S2(%),"MVOP_SS_S2(￥10,000)",NOPI_QFII_S2,"Total_stock_QFII_S2(10,000)",ICASP_QFII_S2(%),"MVOP_QFII_S2(￥10,000)",NOPI_Other_S2,"Total_stock_Other_S2(10,000)",ICASP_Other_S2(%),"MVOP_Other_S2(￥10,000)",Now_CSEC_S1(%),Change_CSEC_S1(%),Ps_CSEC_S1(%),rt_CSEC_S1,Now_CSEC_S2(%),Change_CSEC_S2(%),PS_CSEC_S2(%),RT_CSEC_S2,NC_ISSMT,NOSI_ISSMT,TDOC_ISSMT,"TNPS_ISSMT(10,000)","ITRVOHS_ISSMT(￥10,000)",Currency_ISSMT,EC_MS_S1_1(%),EC_MS_S1_2(%),EC_MS_S1_3(%),Time_S1,EC_MS_S2_1(%),EC_MS_S2_2(%),EC_MS_S2_3(%),Time_S2,SSP_BD,1day_SSP_RAF(%),5day_SSP_RAF(%),10day_SSP_RAF(%),20day_SSP_RAF(%),60day_SSP_RAF(%),120day_SSP_RAF(%),250day_SSP_RAF(%),1day_SSP_transaction(%),5day_SSP_transaction(%),10day_SSP_transaction(%),20day_SSP_transaction(%),60day_SSP_transaction(%),120day_SSP_transaction(%),250day_SSP_transaction(%),"1day_SSP_NOT(10,000)","5day_SSP_NOT(10,000)","10day_SSP_NOT(10,000)","20day_SSP_NOT(10,000)","60day_SSP_NOT(10,000)","120day_SSP_NOT(10,000)","250day_SSP_NOT(10,000)","1day_SSP_NOT(￥10,000)","5day_SSP_NOT(￥10,000)","10day_SSP_NOT(￥10,000)","20day_SSP_NOT(￥10,000)","60day_SSP_NOT(￥10,000)","120day_SSP_NOT(￥10,000)","250day_SSP_NOT(￥10,000)",RAF_SCF(%),"MNI_SCF(￥10,000)","Turnover_SCF(￥10,000)",MNIR_SCF(%),CID_SCF,MNI_SCF(hand),MNIP_SCF(%),"NIOO_SCF(￥10,000)","NIOL_SCF(￥10,000)",Date_MTS,SV_MTS(100m),MV_MTS(￥100m),TAFTTTOABS_MTS(%),RTD_MTS,Date_MCF_S1,MNI_MCF_S1,MNO_MCF_S1,"MNI_MCF_S1(￥10,000)","NIOO_MCF_S1(￥10,000)","NIOL_MCF_S1(￥10,000)","SLNI_MCF_S1(￥10,000)","LNI_MCF_S1(￥10,000)","NIOMS_MCF_S1(￥10,000)","SSNI_MCF_S1(￥10,000)",Date_MCF_S2,MNI_MCF_S2,MNO_MCF_S2,"MNI_MCF_S2(￥10,000)","NIOO_MCF_S2(￥10,000)","NIOL_MCF_S2(￥10,000)","SLNI_MCF_S2(￥10,000)","LNI_MCF_S2(￥10,000)","NIOMS_MCF_S2(￥10,000)","SSNI_MCF_S2(￥10,000)",Date_MCF_S3,MNI_MCF_S3,MNO_MCF_S3,"MNI_MCF_S3(￥10,000)","NIOO_MCF_S3(￥10,000)","NIOL_MCF_S3(￥10,000)","SLNI_MCF_S3(￥10,000)","LNI_MCF_S3(￥10,000)","NIOMS_MCF_S3(￥10,000)","SSNI_MCF_S3(￥10,000)",RRQ_SR,RRA_SR,RSR_SR,RERS_SR,RRHP_SR,RRLP_SR,Currency_SR,TD_LT,DP_LT,CPOTPTD_LT,DR_LT(%),CPOTD_LT,"Volume_LT (10,000/Share/paper)","Turnover_LT(￥10,000)",GC_LT,BSD_LT,SSD_LT
0,0,000001.SZ,平安银行,Monetary financial services,Bank,A shares,"1,717,041.1366","1,717,024.6773",0.0000,0.0000,0.0,0.0,0.0,"1,717,024.6773",16.4593,0.0,0.0000,0.0000,16.4593,15.6145,0.0,0.0000,0.8448,0.0000,0.0000,0.0,100.0,0.0,0.0,100.0,0.0,2018/05/21,"4,850.02","2,650.00",54.64,"1,717,041.14","1,717,024.68",100.0,"35,302.79","64,693.38",49.0,19.0,"12,498",11.36,0,0.00,"4,104",3.73,0,0.00,167.0,"25,986.31",1.54,"283,250.77",0.0,0,0.0,0,4.0,"974,704.73",57.61,"10,624,281.59",0.0,0,0.0,0,0.0,0,0.0,0,6.0,"130,118.17",7.69,"1,418,288.01",331.0,"32,629.36",1.9,"296,600.90",0.0,0,0.0,0,4.0,"999,929.53",58.24,"9,089,359.44",0.0,0,0.0,0,0.0,0,0.0,0,6.0,"131,155.61",7.64,"1,192,204.52",64.45,-0.48,64.93,2018/03/31,65.97,1.52,64.45,2018/06/30,10.0,4.0,Increase holdings,0.95,9.53,CNY,65.8,-0.56,66.36,2018/03/31,65.87,0.07,65.8,2018/06/30,2018/09/13,0.81,-0.1,-1.58,13.44,2.65,-13.2,-13.49,0.58,2.17,5.2,12.63,32.47,68.73,178.21,"9,997.26","37,235.47","89,336.81","216,858.73","557,583.61","1,173,880.46","3,025,983.34",9.93,37.05,90.25,214.81,523.11,"1,192.64","3,600.87",2.76,"-104,605.98","5,166,502.95",-2.02,-7.0,"-1,221,746",-0.61,"-19,233.01","-35,849.63",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,448.77,5931.53,0.0,0.0,0.0
1,1,000002.SZ,万科A,Real estate,Real estateⅡ,A shares,"1,103,915.2001","971,517.0043",0.0000,"131,495.5468",0.0,0.0,0.0,"1,103,012.5511",902.6490,0.0,0.0000,0.0000,902.6490,0.0000,0.0,0.0000,902.6490,0.0000,0.0000,0.0,88.01,0.0,11.91,99.92,0.08,2017/12/31,"4,124.67","2,800.00",67.88,"1,103,915.20","1,103,012.55",99.92,"26,663.73","39,293.31",90.0,66.0,"12,035,320","29,606.89",0,0,"10,524,575","25,890.45","1,510,745","3,716.43",276.0,"21,561.28",2.22,"717,774.85",1.0,"45,699.32",4.7,"1,521,330.33",4.0,"106,970.31",11.01,"3,561,041.55",0.0,0,0.0,0,0.0,0,0.0,0,4.0,"472,372.86",48.62,"15,725,292.38",633.0,"38,647.60",3.98,"950,730.93",1.0,"45,699.32",4.7,"1,124,203.25",4.0,"106,375.64",10.95,"2,616,840.69",0.0,0,0.0,0,0.0,0,0.0,0,4.0,"472,372.86",48.62,"11,620,372.26",68.53,11.06,57.47,2018/03/31,57.5,-11.03,68.53,2018/06/30,29.0,10.0,Reduce holding,"-114,802.45","-2,898,516.94",CNY,68.54,0.01,68.53,2018/03/31,68.48,-0.06,68.54,2018/06/30,2018/09/13,0.96,1.27,-1.7,5.65,-13.44,-23.02,0.85,0.48,2.01,4.36,8.64,28.83,57.93,128.35,"4,688.38","19,508.79","42,363.05","83,902.64","280,100.10","562,810.00","1,246,662.13",10.81,45.28,99.57,196.83,656.47,"1,469.87","3,620.36",-14.58,"16,421.97","6,441,102.47",0.25,2.0,"78,246",0.07,"22,121.74","-6,308.35",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,112314.89,2748710.25,0.0,0.0,0.0
2,2,000004.SZ,国农科技,Pharmaceutical manufacturing,"Pharmaceutical, Biotechnology and Life Sciences",A shares,"8,397.6684","8,301.3184",0.0000,0.0000,0.0,0.0,0.0,"8,301.3184",96.3500,0.0,0.0000,0.0000,96.3500,5.0000,0.0,0.0000,91.3500,0.0000,0.0000,0.0,98.85,0.0,0.0,98.85,1.15,2018/02/07,"1,250.00",500.00,40.0,"8,397.67","8,301.32",98.85,571.81,"1,560.26",19.0,3.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2.0,382.64,4.61,"8,743.33",1.0,420.89,5.07,"9,617.34",0.0,0,0.0,0,0.0,0,0.0,0,2.0,"3,227.44",38.88,"73,747.11",4.0,8.44,0.1,165.39,2.0,387.86,4.67,"7,602.06",1.0,420.89,5.07,"8,249.44",0.0,0,0.0,0,0.0,0,0.0,0,2.0,"3,227.44",38.88,"63,257.92",60.52,4.84,55.68,2018/03/31,60.97,0.45,60.52,2018/06/30,2.0,2.0,Increase holdings,831.08,"2,937.07",CNY,60.52,4.31,56.21,2018/03/31,60.96,0.44,60.52,2018/06/30,2018/09/13,-0.75,-5.47,-10.82,-14.42,-15.56,-29.96,-32.63,0.57,2.34,5.12,10.74,49.07,82.99,306.06,47.72,194.39,424.68,891.79,"4,073.07","6,889.41","25,397.12",0.08,0.31,0.71,1.56,7.60,13.80,59.43,-16.45,480.32,"75,796.83",0.63,-8.0,"2,546",0.36,62.05,-326.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76.0,"1,443.24",0.0,0.0,0.0
3,3,000005.SZ,世纪星源,Ecological protection and environmental management,Business and professional services,A shares,"105,853.6842","95,122.2460",0.0000,0.0000,0.0,0.0,0.0,"95,122.2460","10,731.4382",0.0,0.0000,0.0000,"10,731.4382","4,794.5177",0.0,0.0000,"5,936.9205",0.0000,0.0000,0.0,89.86,0.0,0.0,89.86,10.14,2017/01/03,"9,000.00","4,433.85",49.27,"105,853.68","95,122.25",89.86,"1,076.15","2,045.36",19.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,"24,887.13",26.16,"96,064.32",5.0,26.80,0.03,79.33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,"24,642.37",25.91,"72,941.42",25.76,-0.18,25.94,2018/03/31,24.01,-1.75,25.76,2018/06/30,5.0,3.0,Increase holdings,"1,027.58","12,309.38",CNY,31.94,-0.1,32.04,2018/03/31,30.8,-1.14,31.94,2018/06/30,2018/09/13,1.35,1.35,0.33,1.35,3.09,-23.47,-38.78,0.29,1.78,3.58,9.42,45.51,86.15,190.04,277.96,"1,696.84","3,406.05","8,958.05","43,293.95","81,950.87","180,774.36",0.08,0.51,1.01,2.7,13.29,27.13,74.18,2.39,"-6,581.41","131,380.03",-5.01,2.0,"-230,195",-2.32,"-2,731.62","-1,587.03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,4,000006.SZ,深振业A,Real estate,Real estateⅡ,A shares,"134,999.5046","134,830.7972",0.0000,0.0000,0.0,0.0,0.0,"134,830.7972",168.7074,0.0,0.0000,0.0000,168.7074,0.0000,0.0,0.0000,168.7074,0.0000,0.0000,0.0,99.88,0.0,0.0,99.88,0.12,2018/06/30,"2,531.13","1,559.47",61.61,"134,999.50","134,830.80",99.88,"5,233.56","8,545.95",47.0,12.0,0,0,0,0,0,0,0,0,4.0,"1,964.91",1.46,"14,481.35",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,"50,636.64",37.56,"373,192.03",81.0,"2,973.79",2.21,"17,426.43",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,"50,636.64",37.56,"296,730.70",41.06,0.0,41.06,2018/03/31,41.22,0.16,41.06,2018/06/30,4.0,2.0,Increase holdings,"2,327.60","18,995.45",CNY,41.07,0.0,41.07,2018/03/31,41.21,0.14,41.07,2018/06/30,2018/09/13,1.18,-2.47,-6.56,-6.04,-13.64,-32.76,-41.85,0.37,2.48,5.13,10.83,42.95,113.33,166.71,498.79,"3,347.92","6,911.25","14,606.26","57,908.00","152,804.39","224,719.97",0.25,1.73,3.65,7.9,32.52,100.74,163.76,-14.36,"-8,107.37","319,827.34",-2.53,-10.0,"-151,607",-1.25,"-1,630.99","-1,657.60",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,5,000007.SZ,全新好,Real estate,Real estateⅡ,A shares,"34,644.8044","30,894.8044",0.0000,0.0000,0.0,0.0,0.0,"30,894.8044","3,750.0000",0.0,0.0000,0.0000,"3,750.0000","3,750.0000",0.0,0.0000,0.0000,0.0000,0.0000,0.0,89.18,0.0,0.0,89.18,10.82,2018/06/30,"2,123.35",840.00,39.56,"34,644.80","30,894.80",89.18,"1,531.61","3,577.95",17.0,6.0,0,0.00,0,0.00,0,0.00,0,0.00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,"10,671.85",34.54,"152,927.62",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,"10,666.85",34.53,"142,829.13",38.33,-0.21,38.54,2018/03/31,39.3,0.97,38.33,2018/06/30,2.0,2.0,flat,0.00,6.85,CNY,48.28,-0.14,48.42,2018/03/31,49.25,0.97,48.28,2018/06/30,2018/09/13,-0.32,-1.6,0.9,-5.44,-9.74,-14.26,-20.71,0.33,1.56,2.56,4.27,24.24,55.94,92.79,100.53,482.69,791.76,"1,319.70","7,490.16","17,283.38","28,668.40",0.12,0.59,0.98,1.65,9.89,23.37,40.47,-9.74,"7,566.24","98,930.10",7.65,-2.0,"54,038",1.98,-630.53,"5,800.45",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1229.11,16159.5,0.0,0.0,0.0
6,6,000008.SZ,神州高铁,"Railway, marine, aerospace and other transportation equipment manufacturing",Capital goods,A shares,"281,832.9809","253,987.6920",0.0000,0.0000,0.0,0.0,0.0,"253,987.6920","27,845.2889",0.0,0.0000,0.0000,"27,845.2889",546.8320,0.0,0.0000,"27,298.4569",0.0000,0.0000,0.0,90.12,0.0,0.0,90.12,9.88,2018/06/30,"2,376.00","1,138.45",47.91,"281,832.98","253,987.69",90.12,"11,761.66","22,209.98",48.0,16.0,"203,690,850","101,030.66","203,690,850","101,030.66",0,0,0,0,4.0,317.04,0.12,"2,168.57",1.0,"6,583.24",2.57,"45,029.33",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,"83,498.18",32.64,"571,127.58",95.0,"3,143.31",1.24,"15,590.80",1.0,"6,583.24",2.59,"32,652.85",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,"82,225.37",32.37,"407,837.82",36.07,2.73,33.34,2018/03/31,33.51,-2.56,36.07,2018/06/30,4.0,2.0,Increase holdings,"4,001.57","16,263.35",CNY,41.5,-1.91,43.41,2018/03/31,39.26,-2.24,41.5,2018/06/30,2018/09/13,-0.65,-1.3,16.92,23.24,-8.06,-34.67,-43.55,0.82,9.25,19.7,29.62,46.45,76.94,131.23,"2,081.46","23,496.78","50,026.31","75,230.50","117,985.10","195,956.38","309,077.44",0.94,10.96,22.36,31.98,48.55,94.85,190.26,-8.06,"-39,542.03","485,451.59",-8.15,2.0,"-1,042,523",-3.42,"-30,657.54","-3,745.49",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"7,347,130.70","1,527,470","4,776,469",4.81,4.81,CNY,0.0,0.0,0.0,0.0,0.0,18096.73,117461.49,0.0,0.0,0.0
7,7,000009.SZ,中国宝安,Comprehensive,Capital goods,A shares,"214,934.4971","211,978.9066",0.0000,0.0000,0.0,0.0,0.0,"211,978.9066","2,955.5905",0.0,0.0000,0.0000,"2,955.5905","2,077.7830",0.0,0.0000,877.8075,0.0000,0.0000,0.0,98.62,0.0,0.0,98.62,1.38,2018/06/30,"22,503.00","8,441.00",37.51,"214,934.50","211,978.91",98.62,855.14,"2,411.30",45.0,10.0,"2,647,312","1,297.18",0,0,"1,418,529",695.08,0,0.00,4.0,"1,170.89",0.55,"7,107.28",0.0,0,0.0,0,0.0,0,0.0,0,1.0,605.28,0.29,"3,674.05",0.0,0,0.0,0,3.0,"38,221.61",18.03,"232,005.15",78.0,"2,882.18",1.36,"14,122.69",0.0,0,0.0,0,0.0,0,0.0,0,1.0,715.00,0.34,"3,503.49",0.0,0,0.0,0,3.0,"38,397.38",18.11,"188,147.15",21.57,0.37,21.2,2018/03/31,24.08,2.51,21.57,2018/06/30,2.0,1.0,Reduce holding,"-2,430.00","-21,428.66",CNY,22.14,0.33,21.81,2018/03/31,24.6,2.46,22.14,2018/06/30,2018/09/13,1.11,0.44,-1.08,-2.35,-2.59,-27.06,-48.97,0.3,1.65,3.23,5.95,25.63,66.88,222.30,643.35,"3,503.19","6,848.76","12,621.53","54,327.64","141,778.06","471,269.65",0.29,1.59,3.13,5.82,26.32,78.52,339.82,-5.21,"-11,174.64","258,346.61",-4.33,1.0,"-231,037",-1.16,"-1,572.77","-1,419.79",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,8,000010.SZ,美丽生态,Civil engineering construction industry,Capital goods,A shares,"81,985.4713","52,217.1348",0.0000,0.0000,0.0,0.0,0.0,"52,217.1348","29,768.3365",0.0,0.0000,"1,511.0828","28,257.2537","21,573.2371",0.0,0.0000,"6,684.0166",0.0000,0.0000,0.0,63.69,0.0,0.0,63.69,36.31,2018/06/30,"5,236.66","1,699.89",32.46,"81,985.47","52,217.13",63.69,"1,465.61","2,971.79",15.0,6.0,200,0.08,0,0,200,0.08,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,"10,283.98",19.69,"46,380.77",1.0,0.41,0.0,1.60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,"10,350.83",19.82,"40,471.73",12.91,-1.97,14.88,2018/03/31,15.01,2.1,12.91,2018/06/30,9.0,1.0,Reduce holding,"-1,313.47","-15,271.84",CNY,40.21,-1.0,41.21,2018/03/31,40.51,0.3,40.21,2018/06/30,2018/09/13,0.82,1.66,8.19,8.43,20.74,6.54,-5.05,0.47,5.99,13.54,25.53,84.35,230.69,683.80,243.46,"3,130.04","7,067.75","13,330.43","44,046.99","120,457.68","357,059.61",0.12,1.56,3.43,6.28,19.40,48.46,187.59,21.95,"-3,435.38","189,403.21",-1.81,1.0,"-80,799",-1.35,-106.39,544.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,281.0,1250.45,0.0,0.0,0.0
9,9,000011.SZ,深物业A,Real estate,Real estateⅡ,A shares,"59,597.9092","17,586.2626","6,760.5243",0.0000,0.0,0.0,0.0,"24,346.7869","35,251.1223",0.0,0.0000,"35,057.9943",193.1280,189.4980,0.0,0.0000,3.6300,0.0000,0.0000,0.0,29.51,11.34,0.0,40.85,59.15,2017/06/30,"25,751.19","6,500.00",25.24,"59,597.91","24,346.79",40.85,131.44,274.57,25.0,6.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,"3,049.90",17.34,"48,798.33",11.0,48.60,0.28,538.00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,"3,109.90",17.68,"34,426.54",7.59,-0.01,7.6,2018/03/31,7.69,0.1,7.59,2018/06/30,4.0,3.0,Increase holdings,273.19,"1,662.85",CNY,66.46,0.02,66.44,2018/03/31,66.52,0.06,66.46,2018/06/30,2018/09/13,0.53,0.62,-1.73,0.8,3.42,-28.12,-40.98,1.25,9.87,20.81,60.41,168.17,285.84,749.50,218.96,"1,735.95","3,659.13","10,623.64","29,575.53","50,269.45","131,809.70",0.25,1.96,4.18,12.32,33.25,63.56,216.06,2.06,"-4,218.62","329,525.49",-1.28,1.0,"-37,416",-2.12,"-3,982.63","1,140.55",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
10,10,000012.SZ,南玻A,Non-metallic mineral products industry,Material Ⅱ,A shares,"285,345.0621","173,581.6386","100,851.4849",0.0000,0.0,0.0,0.0,"274,433.1235","10,911.9386",0.0,0.0000,0.0000,"10,911.9386",0.0000,0.0,0.0000,"10,911.9386",0.0000,0.0000,0.0,60.83,35.34,0.0,96.18,3.82,2018/09/10,"10,753.26","3,300.00",30.69,"285,345.06","274,433.12",96.18,"2,553.57","8,216.16",57.0,23.0,"13,965,119","6,912.73","3,688,785","1,825.95","2,634,845","1,304.25","3,306",1.64,2.0,25.89,0.02,194.98,0.0,0,0.0,0,3.0,"51,349.96",34.02,"386,665.23",0.0,0,0.0,0,0.0,0,0.0,0,3.0,"13,726.79",9.09,"103,362.75",83.0,"1,966.62",1.13,"9,734.77",0.0,0,0.0,0,3.0,"59,052.46",34.02,"292,309.67",0.0,0,0.0,0,0.0,0,0.0,0,3.0,"15,785.81",9.09,"78,139.77",29.77,0.06,29.71,2018/03/31,29.77,0.0,29.77,2018/06/30,1.0,1.0,Increase holdings,0.08,0.84,CNY,29.78,0.08,29.7,2018/03/31,29.77,-0.01,29.78,2018/06/30,2018/09/13,0.84,-0.41,-0.41,-2.23,-1.45,-28.18,-34.42,0.25,1.06,2.98,5.94,24.98,53.92,262.77,434.74,"1,835.16","5,170.20","10,310.89","43,115.45","86,797.81","400,259.56",0.21,0.88,2.51,5.03,21.53,52.35,325.76,-2.82,"-10,628.99","212,493.76",-5.0,-4.0,"-213,710",-1.27,"-2,129.94","-1,779.68",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"12,214,129.76","3,319,057","3,319,057",3.68,3.68,CNY,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
